"","X","address","bedroom","bathroom","carspace","soldprice","landareas","yearsold","CBD_Distance","latitute","longitude","distanceSchool","agency","schoolName","Suburb","position"
"939",940,"9 Alexander Parade Roseville NSW 2069",4,2,2,2912000,1075,2022,10,-33.7828433,151.1803307,1.13," Stone Real Estate ","Our Lady of Dolours Catholic Primary School ","Roseville","North"
"940",941,"18 Longford Street Roseville NSW 2069",3,2,3,2860000,949,2022,10.24,-33.7877448,151.1748156,NA," VANGUARDE ",NA,"Roseville","North"
"941",942,"143 Ashley Street Roseville NSW 2069",3,1,3,3200000,702,2022,9.57,-33.7880407,151.1660875,0.48," Di Jones Lindfield","Our Lady of Dolours Catholic Primary School ","Roseville","North"
"942",943,"23a Archbold Road Roseville NSW 2069",4,2,1,2300000,334,2022,10.41,-33.7898666,151.1832234,0.09," Marshall Real Estate","Roseville Public School ","Roseville","North"
"943",944,"17 Malvern Avenue Roseville NSW 2069",4,2,2,3555000,676,2022,10.24,-33.7800292,151.1920406,0.53," Ray White ","Roseville Public School ","Roseville","North"
"944",945,"9 Merlin Street Roseville NSW 2069",3,2,1,3600000,1220,2022,10.95,-33.7814284,151.1876627,0.63," Di Jones Lindfield","Roseville Public School ","Roseville","North"
"945",946,"1 Gerald Avenue Roseville NSW 2069",5,3,1,5700000,1023,2022,10.65,-33.7821332,151.1940416,0.67," McGrath ","Roseville Public School ","Roseville","North"
"946",947,"76 Macquarie Street Roseville NSW 2069",5,5,3,5750000,682,2022,9.87,-33.7861839,151.1884336,0.47," Stone Real Estate ","Roseville Public School ","Roseville","North"
"947",948,"23 Ferncourt Avenue Roseville NSW 2069",4,2,2,3858000,676,2022,9.95,-33.7856485,151.187638,0.41," Ray White ","Roseville Public School ","Roseville","North"
"948",949,"72 Lord Street Roseville NSW 2069",4,4,2,3800000,1062,2022,10.58,-33.7802504,151.184984,0.36," Stone Real Estate ","Roseville Public School ","Roseville","North"
"949",950,"5 Belgium Avenue Roseville NSW 2069",5,3,2,5745000,885,NA,10.68,-33.7856207,151.1674742,0.82," Stone Real Estate ","Roseville Public School ","Roseville","North"
"950",951,"68 Balmoral Street Waitara NSW 2077",3,1,3,2108000,714,2023,20.72,-33.7050943,151.109069,0.28," Laing & Simmons ","Waitara Public School ","Waitara","North"
"951",952,"23 Balmoral street Waitara NSW 2077",3,1,2,1250000,325,2022,20.36,-33.704611,151.1073076,0.4," Realzip ","Waitara Public School ","Waitara","North"
"952",953,"23a Balmoral Street Waitara NSW 2077",4,2,2,2300000,684,2022,20.37,-33.7056499,151.1098423,0.41," Realzip ","Waitara Public School ","Waitara","North"
"953",954,"83 Balmoral Street Waitara NSW 2077",4,2,2,2400000,695,2022,20.88,-33.7098571,151.1083663,0.44," Belle Property ","Waitara Public School ","Waitara","North"
"954",955,"9A Wentworth Avenue Waitara NSW 2077",5,3,2,2350000,572,2022,20.88,-33.7098433,151.1081482,0.52," Century 21 ","Waitara Public School ","Waitara","North"
"955",956,"72 Burdett Street Waitara NSW 2077",4,2,2,2480000,772,2022,20.87,-33.704202,151.1094174,0.43," LJ Hooker ","Waitara Public School ","Waitara","North"
"956",957,"10A Wentworth Avenue Waitara NSW 2077",4,2,2,2300000,689,2022,20.8,-33.7052616,151.1069712,0.4," McGrath ","Waitara Public School ","Waitara","North"
"957",958,"26 Palmerston Road Waitara NSW 2077",4,1,2,2325000,695,2022,20.72,-33.7040874,151.1100286,0.28," Chadwick Real Estate ","Waitara Public School ","Waitara","North"
"958",959,"23 Wentworth Avenue Waitara NSW 2077",3,2,1,2399000,1144,2021,20.94,-33.7054374,151.1083223,0.54," Ray White ","Waitara Public School ","Waitara","North"
"959",960,"1/59 Balmoral Street Waitara NSW 2077",3,2,1,1500000,344,2021,20.75,-33.7058519,151.1086859,0.35," Ray White ","Waitara Public School ","Waitara","North"
"960",961,"31 Unwin Road Waitara NSW 2077",3,1,1,2100000,715,2021,20.27,-33.7132241,151.1025925,0.11," Chadwick Real Estate ","Our Lady of the Rosary Catholic Primary School ","Waitara","North"
"961",962,"4 Yardley Avenue Waitara NSW 2077",3,3,3,1900000,701,2021,20.34,-33.7132241,151.1025925,0.12," Belle Property ","Our Lady of the Rosary Catholic Primary School ","Waitara","North"
"962",963,"26 McAuley Place Waitara NSW 2077",3,2,2,1355000,195,2021,20.24,-33.7122909,151.1032894,0.24," Stone Real Estate ","Our Lady of the Rosary Catholic Primary School ","Waitara","North"
"963",964,"7 Wentworth Avenue Waitara NSW 2077",3,1,1,2105000,1229,2021,20.85,-33.7096813,151.1079808,0.49," Ray White ","Waitara Public School ","Waitara","North"
"964",965,"10A Palmerston Road Waitara NSW 2077",4,3,2,1850000,604,2020,20.59,-33.7121036,151.1060078,0.14," McGrath ","Waitara Public School ","Waitara","North"
"965",966,"79 Balmoral Street Waitara NSW 2077",3,2,1,1580000,643,2020,20.84,-33.7054293,151.1071419,0.4," LJ Hooker ","Waitara Public School ","Waitara","North"
"966",967,"53 Edgeworth David Avenue Waitara NSW 2077",4,1,2,1676000,975,2020,20.71,-33.7063935,151.1113336,0.35," Century 21 ","Waitara Public School ","Waitara","North"
"967",968,"15 Unwin Road Waitara NSW 2077",3,2,2,1445000,714,2020,20.38,-33.7046132,151.1093462,0.16," Di Jones Real Estate ","Our Lady of the Rosary Catholic Primary School ","Waitara","North"
"968",969,"33 Palmerston Road Waitara NSW 2077",4,3,2,1800000,683,2020,20.82,-33.7043396,151.1073621,0.38," Century 21 ","Waitara Public School ","Waitara","North"
"969",970,"27 Wentworth Avenue Waitara NSW 2077",3,2,1,1400000,1144,2020,20.96,-33.7043627,151.1106385,0.56," Ray White ","Waitara Public School ","Waitara","North"
"970",971,"57A BALMORAL STREET Waitara NSW 2077",3,1,1,1510000,689,2019,20.69,-33.7042042,151.1073897,0.29," Raine & Horne Hornsby ","Waitara Public School ","Waitara","North"
"971",972,"39 Edgeworth David Avenue Waitara NSW 2077",4,1,4,1150000,697,2019,20.8,-33.706284,151.10904,0.49," RUN Property ","Waitara Public School ","Waitara","North"
"972",973,"2 Wentworth Avenue Waitara NSW 2077",4,2,2,1460000,598,2019,20.75,-33.70615,151.10675,0.38," Di Jones Real Estate ","Waitara Public School ","Waitara","North"
"973",974,"29 Unwin Road Waitara NSW 2077",3,2,1,1360000,695,2019,20.29,-33.7060456,151.1080572,0.11," McGrath ","Our Lady of the Rosary Catholic Primary School ","Waitara","North"
"974",975,"28A Palmerston Road Waitara NSW 2077",4,2,2,1333000,1140,2019,20.74,-33.713062,151.10263,0.32," LJ Hooker ","Waitara Public School ","Waitara","North"
"975",976,"14 Marillian Avenue Waitara NSW 2077",3,1,2,1235000,733,2019,20.26,-33.714944,151.100775,0.38," Ray White ","Our Lady of the Rosary Catholic Primary School ","Waitara","North"
"976",977,"27 Unwin Road Waitara NSW 2077",3,1,1,1145000,696,2018,20.3,-33.706091,151.108874,0.11," Ray White ","Our Lady of the Rosary Catholic Primary School ","Waitara","North"
"977",978,"16 Balmoral Street Waitara NSW 2077",3,1,1,1650000,728,2018,20.51,-33.712917,151.10266,0.44," Ian Dinnerville Real Estate ","Our Lady of the Rosary Catholic Primary School ","Waitara","North"
"978",979,"8 Marillian Avenue Waitara NSW 2077",3,1,1,1500000,733,2017,20.32,-33.704747,151.10728,0.38," McGrath ","Our Lady of the Rosary Catholic Primary School ","Waitara","North"
"979",980,"23 Palmerston Road Waitara NSW 2077",4,2,2,1721000,714,2017,20.76,-33.709526,151.10553,0.31," McGrath ","Waitara Public School ","Waitara","North"
"980",981,"77 Balmoral Street Waitara NSW 2077",3,1,2,1260000,581,2016,20.83,-33.707156,151.109665,0.39," Elders Real Estate Hornsby ","Waitara Public School ","Waitara","North"
"981",982,"10 Marillian Avenue Waitara NSW 2077",4,1,NA,1050000,702,2016,20.3,-33.70568,151.10883,0.38," LJ Hooker ","Our Lady of the Rosary Catholic Primary School ","Waitara","North"
"982",983,"73 Balmoral Street Waitara NSW 2077",4,1,1,1520000,1005,2016,20.81,-33.714165,151.099891,0.38," Century 21 ","Waitara Public School ","Waitara","North"
"983",984,"14A Balmoral Street Waitara NSW 2077",4,2,2,1599000,778,2016,20.28,-33.706046,151.108059,0.39," LJ Hooker ","Waitara Public School ","Waitara","North"
"984",985,"53 Balmoral Street Waitara NSW 2077",4,2,1,2020000,935,2015,20.58,-33.705093,151.10907,0.29," Keith Soames Real Estate ","Waitara Public School ","Waitara","North"
"985",986,"48 Balmoral Street Waitara NSW 2077",4,2,2,1315000,377,2015,20.51,-33.710384,151.10915,0.21," Belle Property ","Waitara Public School ","Waitara","North"
"986",987,"32A Balmoral Street Waitara NSW 2077",6,4,2,1900000,752,2015,20.4,-33.706368,151.10394,0.27," McGrath ","Waitara Public School ","Waitara","North"
"987",988,"32A Balmoral Street Waitara NSW 2077",6,4,2,1900000,753,2015,20.4,-33.704091,151.110693,0.27," McGrath ","Waitara Public School ","Waitara","North"
"988",989,"38 Balmoral Street Waitara NSW 2077",3,1,1,1713000,1189,2015,20.44,-33.714943,151.10077,0.25," Chadwick Real Estate ","Waitara Public School ","Waitara","North"
"989",990,"2 Balmoral Street Waitara NSW 2077",3,1,1,1360000,995,2015,20.2,-33.708496,151.10934,0.49," Belle Property ","Waitara Public School ","Waitara","North"
"990",991,"4 Wentworth Avenue Waitara NSW 2077",3,1,2,1190000,550,2015,20.78,-33.708652,151.10931,0.41," LJ Hooker ","Waitara Public School ","Waitara","North"
"991",992,"24 Palmerston Road Waitara NSW 2077",6,3,2,1850500,700,2015,20.71,-33.71133,151.10881,0.27," Keith Soames Real Estate ","Waitara Public School ","Waitara","North"
"992",993,"5 Marillian Avenue Waitara NSW 2077",4,2,2,1170000,701,2014,20.25,-33.705845,151.10785,0.34," Ray White ","Our Lady of the Rosary Catholic Primary School ","Waitara","North"
"993",994,"9 Palmerston Rd Waitara NSW 2077",5,4,5,1535000,714,2014,20.68,-33.705284,151.11116,0.24," 5 Star Real Estate ","Waitara Public School ","Waitara","North"
"994",995,"71A Alexandria Pde Waitara NSW 2077",4,2,5,1465000,847,2014,20.15,-33.711758,151.10881,0.53," Cass Property Sales ","Waitara Public School ","Waitara","North"
"995",996,"22 Balmoral Street Waitara NSW 2077",3,2,1,1130500,526,2014,20.36,-33.70978,151.10864,0.37," Chadwick Real Estate ","Waitara Public School ","Waitara","North"
"996",997,"10 Yardley Avenue Waitara NSW 2077",5,4,2,1427000,689,2014,20.3,-33.712694,151.103187,0.09," Century 21 ","Our Lady of the Rosary Catholic Primary School ","Waitara","North"
"997",998,"7 Park Lane Waitara NSW 2077",4,2,2,1143000,542,2013,20.35,-33.70635,151.10811,0.31," Belle Property ","Waitara Public School ","Waitara","North"
"998",999,"28a Balmoral Street Waitara NSW 2077",4,2,2,1400000,614,2013,20.58,-33.7095778,151.1093466,0.24," LJ Hooker ","Waitara Public School ","Waitara","North"
"999",1000,"12 Yardley Avenue Waitara NSW 2077",5,2,2,1160000,682,2013,20.29,-33.7073084,151.1091518,0.08," LJ Hooker ","Our Lady of the Rosary Catholic Primary School ","Waitara","North"
"1000",1001,"16 Dan Crescent Castle Hill NSW 2154",3,2,2,1650000,696,2023,23.63,-33.7339392,151.0141734,0.81," Century 21 Community First ","St Bernadette's Primary School ","Castle Hill","North"
"1001",1002,"6 Gum Tree Place Castle Hill NSW 2154",5,4,2,2254000,700,2023,23.65,-33.7404397,151.0072857,NA," New Vision Real Estate ",NA,"Castle Hill","North"
"1002",1003,"134 Tuckwell Road Castle Hill NSW 2154",4,2,2,1990000,930,2023,26.12,-33.7142393,150.9897469,0.6," Belle Property ","Samuel Gilbert Public School ","Castle Hill","North"
"1003",1004,"17 Springthorpe Way Castle Hill NSW 2154",5,3,3,2850000,735,2023,24.32,-33.7192436,150.9937801,0.82," Guardian Realty Castle Hill ","St Bernadette's Primary School ","Castle Hill","North"
"1004",1005,"10 Citadel Crescent Castle Hill NSW 2154",4,2,2,2200000,720,2023,26.91,-33.7201591,151.019422,0.55," Belle Property ","Samuel Gilbert Public School ","Castle Hill","North"
"1005",1006,"18 Cardiff Way Castle Hill NSW 2154",3,1,1,1511000,424,2023,24.03,-33.7090981,150.9933711,0.8," Guardian Realty Castle Hill ","Excelsior Public School ","Castle Hill","North"
"1006",1007,"56 Gooraway Drive Castle Hill NSW 2154",5,2,2,1940000,757,2023,26.21,-33.7429542,150.9996748,0.4," Belle Property Strathfield ","Samuel Gilbert Public School ","Castle Hill","North"
"1007",1008,"59 Woodhill Street Castle Hill NSW 2154",5,2,2,2600000,1031,2023,23.36,-33.7180197,150.9918966,0.94," Murdoch Lee Estate Agents ","Baulkham Hills North Public School ","Castle Hill","North"
"1008",1009,"26 Beaumaris Avenue Castle Hill NSW 2154",5,3,3,2180000,700,2023,27.33,-33.7206709,150.9753993,NA," Murdoch Lee Estate Agents ",NA,"Castle Hill","North"
"1009",1010,"169 Excelsior Avenue Castle Hill NSW 2154",4,2,2,1807000,402,2023,23.98,-33.7213365,151.0061706,0.96," Murdoch Lee Estate Agents ","Baulkham Hills North Public School ","Castle Hill","North"
"1010",1011,"5/174 Old Northern Road Castle Hill NSW 2154",4,2,2,1752000,709,2023,24.24,-33.7359783,151.020217,0.58," McGrath Rouse Hill ","Excelsior Public School ","Castle Hill","North"
"1011",1012,"13 Gilham Street Castle Hill NSW 2154",3,2,1,1870000,696,2023,24.69,-33.7323163,150.9933478,0.78," Guardian Realty Castle Hill ","Castle Hill High School ","Castle Hill","North"
"1012",1013,"24 Nottingham Avenue Castle Hill NSW 2154",5,2,2,2000000,936,2023,25.61,-33.722942,150.997286,0.57," McGrath ","Castle Hill High School ","Castle Hill","North"
"1013",1014,"65 St Pauls Avenue Castle Hill NSW 2154",5,3,2,2030000,461,2023,27.96,-33.7181817,150.9691177,1.06," Murdoch Lee Estate Agents ","Kellyville High School ","Castle Hill","North"
"1014",1015,"18 Milguy Avenue Castle Hill NSW 2154",4,2,2,1850000,695,2023,25.19,-33.7382071,150.9882895,0.43," Gilmour Property Agents ","Excelsior Public School ","Castle Hill","North"
"1015",1016,"2 Kerrs Road Castle Hill NSW 2154",4,2,1,1750000,992,2023,24.33,-33.7384048,150.9998251,0.84," LJ Hooker ","Excelsior Public School ","Castle Hill","North"
"1016",1017,"12 Dan Crescent Castle Hill NSW 2154",5,1,2,1385000,854,2023,23.59,-33.7223454,150.9762359,0.81," Century 21 Community First ","St Bernadette's Primary School ","Castle Hill","North"
"1017",1018,"61 Excelsior Avenue Castle Hill NSW 2154",3,1,2,1607000,702,2023,25.06,-33.7340866,151.0145369,0.29," Manor Real Estate ","Excelsior Public School ","Castle Hill","North"
"1018",1019,"4 Heron Court Castle Hill NSW 2154",5,3,2,2560000,884,2023,25.08,-33.7395199,150.9889127,1.25," McGrath ","St Bernadette's Primary School ","Castle Hill","North"
"1019",1020,"102 David Road Castle Hill NSW 2154",5,3,2,2450000,900,2023,23.56,-33.7286326,151.0279353,0.39," Murdoch Lee Estate Agents ","St Gabriel's School for Hearing Impaired Children ","Castle Hill","North"
"1020",1021,"61 Gindurra Avenue Castle Hill NSW 2154",5,3,2,2600000,1094,2023,27.31,-33.7190441,151.0093236,1.12," McGrath ","Kellyville Ridge Public School ","Castle Hill","North"
"1021",1022,"3 De La Salle Place Castle Hill NSW 2154",5,3,3,2550000,901,2023,23.74,-33.7237184,151.0267269,0.42," Louis Carr Real Estate ","St Gabriel's School for Hearing Impaired Children ","Castle Hill","North"
"1022",1023,"5 Jabiru Place Castle Hill NSW 2154",4,2,2,1950000,610,2023,27.33,-33.722146,150.9739188,NA," DiJones ",NA,"Castle Hill","North"
"1023",1024,"4 Fishburn Crescent Castle Hill NSW 2154",4,2,2,3200000,936,2023,25.76,-33.7287848,150.9892483,0.86," Harcourts ","Castle Hill High School ","Castle Hill","North"
"1024",1025,"7 Bounty Avenue Castle Hill NSW 2154",5,3,2,2268000,783,2023,25.62,-33.7207974,151.0306857,0.46," Dougmal Real Estate ","Castle Hill High School ","Castle Hill","North"
"1025",1026,"3 Bonnefin Place Castle Hill NSW 2154",4,2,2,1555000,696,2023,23.7,-33.7179204,150.9684824,1.35," Guardian Realty Castle Hill ","St Bernadette's Primary School ","Castle Hill","North"
"1026",1027,"4 Stewart Drive Castle Hill NSW 2154",5,2,2,1770000,702,2023,23.89,-33.7249176,150.9951761,NA," Louis Carr Real Estate ",NA,"Castle Hill","North"
"1027",1028,"4 Verletta Avenue Castle Hill NSW 2154",5,2,2,2185000,721,2023,25.07,-33.7074637,150.9859963,0.74," Manor Real Estate ","Castle Hill High School ","Castle Hill","North"
"1028",1029,"18 Pentonville Parade Castle Hill NSW 2154",4,4,3,2628000,646,2023,27.49,-33.7373227,151.009734,NA," DiJones ",NA,"Castle Hill","North"
"1029",1030,"6 Castlewood Drive Castle Hill NSW 2154",4,2,2,1800000,930,2023,23.16,-33.7393833,151.0050466,NA," McGrath ",NA,"Castle Hill","North"
"1030",1031,"6 Dinmore Place Castle Hill NSW 2154",5,2,2,2060001,787,2023,23.69,-33.7208285,151.0282467,0.1," Murdoch Lee Estate Agents ","St Gabriel's School for Hearing Impaired Children ","Castle Hill","North"
"1031",1032,"6 Lemonwood Place Castle Hill NSW 2154",5,3,2,2280000,855,2023,22.87,-33.7460272,151.0127115,NA," Murdoch Lee Estate Agents ",NA,"Castle Hill","North"
"1032",1033,"10 Pioneer Place Castle Hill NSW 2154",6,4,3,2550000,940,2023,24.1,-33.7285585,151.0131552,0.48," Murdoch Lee Estate Agents ","St Bernadette's Primary School ","Castle Hill","North"
"1033",1034,"43 Powys Circuit Castle Hill NSW 2154",5,3,3,2350000,800,2023,27.03,-33.7223805,150.9778901,NA," Guardian Realty Castle Hill ",NA,"Castle Hill","North"
"1034",1035,"8 Settlers Close Castle Hill NSW 2154",5,3,3,2735000,904,2023,24.33,-33.7250211,151.0136725,0.5," Guardian Realty Castle Hill ","St Bernadette's Primary School ","Castle Hill","North"
"1035",1036,"21 Gooraway Drive Castle Hill NSW 2154",4,2,2,1800000,740,2023,26.12,-33.7170843,150.9961846,0.49," Century 21 Community First ","Samuel Gilbert Public School ","Castle Hill","North"
"1036",1037,"3 Whitling Avenue Castle Hill NSW 2154",3,2,NA,1550000,695,2023,24.85,-33.7346843,150.9962234,0.78," Manor Real Estate ","Castle Hill High School ","Castle Hill","North"
"1037",1038,"6 Bayberry Way Castle Hill NSW 2154",5,3,2,2455000,992,2023,23.19,-33.7447137,150.9979104,0.99," McGrath ","St Bernadette's Primary School ","Castle Hill","North"
"1038",1039,"1 Washington Place Castle Hill NSW 2154",6,3,1,2020000,936,NA,25.46,-33.736318,151.0180007,0.6," Manor Real Estate ","St Angela's Primary School ","Castle Hill","North"
"1039",1040,"26 Celeste Avenue Castle Hill NSW 2154",6,3,3,2320000,553,2023,27.67,-33.7148157,150.9763187,0.86," Manor Real Estate ","Kellyville Ridge Public School ","Castle Hill","North"
"1040",1041,"57 George Mobbs Drive Castle Hill NSW 2154",4,2,2,1575000,923,2023,23.35,-33.7370214,151.0099275,0.56," McGrath ","Baulkham Hills North Public School ","Castle Hill","North"
"1041",1042,"62 Oakhill Drive Castle Hill NSW 2154",4,2,2,1890000,470,2023,24.36,-33.719911,150.964468,0.57," Murdoch Lee Estate Agents ","St Gabriel's School for Hearing Impaired Children ","Castle Hill","North"
"1042",1043,"15 Highclere Place Castle Hill NSW 2154",4,3,2,2210000,734,2023,24.47,-33.7488795,151.0035577,0.75," Keith Soames Real Estate ","St Gabriel's School for Hearing Impaired Children ","Castle Hill","North"
"1043",1044,"38 Excalibur Avenue Castle Hill NSW 2154",6,3,3,2670000,930,2023,26.96,-33.7165634,151.0230982,0.46," Seven Real Estate ","Samuel Gilbert Public School ","Castle Hill","North"
"1044",1045,"19 Ulundri Drive Castle Hill NSW 2154",4,2,5,2261500,900,2023,25.44,-33.7286155,150.9933522,0.93," Century 21 The Complete Real Estate ","Castle Hill High School ","Castle Hill","North"
"1045",1046,"17 Regent Place Castle Hill NSW 2154",4,2,2,2225000,747,2023,27.18,-33.7286155,150.9933522,NA," Guardian Realty ",NA,"Castle Hill","North"
"1046",1047,"53 Francis Street Castle Hill NSW 2154",4,3,2,1680888,803,2023,23.66,-33.7157779,151.0204657,NA," McGrath ",NA,"Castle Hill","North"
"1047",1048,"114 David Road Castle Hill NSW 2154",5,2,3,2180000,873,2022,23.42,-33.7396366,151.0080078,0.47," Homeway First National ","St Gabriel's School for Hearing Impaired Children ","Castle Hill","North"
"1048",1049,"381 Old Northern Road Castle Hill NSW 2154",5,2,2,1730000,1094,2022,23.78,-33.736686,151.0128347,0.66," Harcourts Hills Living ","St Bernadette's Primary School ","Castle Hill","North"
"1049",1050,"75 Wrights Road Castle Hill NSW 2154",5,3,3,2580000,986,2022,28.06,-33.7244456,151.0280332,0.76," McGrath Rouse Hill ","Kellyville High School ","Castle Hill","North"
"1050",1051,"6 Crescent Avenue Ryde NSW 2112",4,2,2,3450000,866,2023,11.09,-33.8074623,151.1267917,0.75," Pello ","St Charles Catholic Primary School ","Ryde","North"
"1051",1052,"24 Colston Street Ryde NSW 2112",4,2,2,2200000,569,2023,11.94,-33.8129308,151.1116658,NA," Pello ",NA,"Ryde","North"
"1052",1053,"11 Allan Avenue Ryde NSW 2112",6,2,2,2250000,500,2023,11.77,-33.7986946,151.1132496,NA," Tracy Yap Realty ",NA,"Ryde","North"
"1053",1054,"14 Dorothy Street Ryde NSW 2112",4,1,1,2325000,701,2023,12.67,-33.8085527,151.1263311,0.54," First National ","Northcross Christian School ","Ryde","North"
"1054",1055,"17 Bird Street Ryde NSW 2112",5,3,2,3913000,538,2023,10.33,-33.7946966,151.1079676,0.37," Pello ","Ryde East Public School ","Ryde","North"
"1055",1056,"16 John Miller Street Ryde NSW 2112",3,1,4,2115000,588,2023,10.43,-33.8102832,151.1250238,0.24," Ray White ","Ryde East Public School ","Ryde","North"
"1056",1057,"14 Kells Road Ryde NSW 2112",3,2,2,2000000,544,2023,10.97,-33.8090164,151.1251126,0.9," Ray White ","St Charles Catholic Primary School ","Ryde","North"
"1057",1058,"6 Frederick Street Ryde NSW 2112",5,4,2,3450000,594,2023,10.36,-33.8110685,151.1151285,0.13," McGrath ","St Charles Catholic Primary School ","Ryde","North"
"1058",1059,"18 Clayton Street Ryde NSW 2112",3,1,2,2050000,715,2023,10.84,-33.820314,151.1149313,0.54," Belle Property Ryde","St Charles Catholic Primary School ","Ryde","North"
"1059",1060,"13 Wolger Road Ryde NSW 2112",4,2,2,2100000,696,2023,11.76,-33.8096793,151.1008769,NA," BresicWhitney ",NA,"Ryde","North"
"1060",1061,"29 Myra Avenue Ryde NSW 2112",5,3,4,2950000,1201,2022,11.42,-33.8081769,151.1023752,NA," Belle Property Ryde",NA,"Ryde","North"
"1061",1062,"9 Cameron Crescent Ryde NSW 2112",5,3,2,3800000,816,2022,11.1,-33.8023074,151.1059279,0.98," Agency 1 Real Estate","St Charles Catholic Primary School ","Ryde","North"
"1062",1063,"1 Maze Avenue Ryde NSW 2112",5,3,2,2611500,544,2022,10.98,-33.807937,151.1118436,0.55," Pello ","St Charles Catholic Primary School ","Ryde","North"
"1063",1064,"107 Quarry Road Ryde NSW 2112",5,3,2,1980000,337,2022,11.32,-33.8020937,151.1184597,NA," Belle Property Ryde",NA,"Ryde","North"
"1064",1065,"35 Aitchandar Road Ryde NSW 2112",6,3,2,3150000,1138,2022,10.75,-33.7975062,151.1072134,0.74," McGrath ","Ryde East Public School ","Ryde","North"
"1065",1066,"5 Squire Street Ryde NSW 2112",7,5,2,2850000,841,2022,11.97,-33.8158595,151.0975733,1," Stone Epping ","St Michael's Catholic Primary School ","Ryde","North"
"1066",1067,"39 Rocca Street Ryde NSW 2112",4,2,2,2175000,519,2022,12.69,-33.7966613,151.1055227,0.39," Pello ","Northcross Christian School ","Ryde","North"
"1067",1068,"19 Colston Street Ryde NSW 2112",3,2,1,2200000,569,2022,12,-33.8023221,151.105747,NA," Pello ",NA,"Ryde","North"
"1068",1069,"184 Buffalo Road Ryde NSW 2112",5,2,1,1650000,506,2022,10.91,-33.8070613,151.1223858,0.71," McGrath ","St Charles Catholic Primary School ","Ryde","North"
"1069",1070,"16 Warren Street Ryde NSW 2112",3,1,2,1987500,645,2022,12.38,-33.8072183,151.1229284,0.76," Pello ","Northcross Christian School ","Ryde","North"
"1070",1071,"14 Irvine Crescent Ryde NSW 2112",4,2,3,2525000,600,2022,10.74,-33.8211313,151.1147098,0.35," LJ Hooker ","St Charles Catholic Primary School ","Ryde","North"
"1071",1072,"21 Thorn Street Ryde NSW 2112",3,1,2,1965000,607,2022,12.1,-33.8089452,151.1029265,0.88," Professionals ","St Michael's Catholic Primary School ","Ryde","North"
"1072",1073,"76a Brush Road Ryde NSW 2112",3,1,1,1590000,613,2022,14.81,-33.8229993,151.1162661,0.31," Pam Easson Real Estate ","Marsden High School ","Ryde","North"
"1073",1074,"3 Eileen Street Ryde NSW 2112",3,2,2,2150000,563,2022,11.51,-33.8015171,151.0721142,NA," Snowden Parkes Real Estate Agents ",NA,"Ryde","North"
"1074",1075,"3 Santarosa Avenue Ryde NSW 2112",5,4,2,3470000,480,2022,12.29,-33.8202086,151.1085071,0.8," Melrose Estate Agents ","Northcross Christian School ","Ryde","North"
"1075",1076,"36 Gladstone Avenue Ryde NSW 2112",3,1,2,1431000,468,2022,11.16,-33.8150721,151.1154661,0.85," Pello ","Putney Public School ","Ryde","North"
"1076",1077,"142 Quarry Road Ryde NSW 2112",4,3,5,2170000,961,2022,11.54,-33.8001632,151.1170607,NA," Belle Property Ryde",NA,"Ryde","North"
"1077",1078,"11 Thorn Street Ryde NSW 2112",4,2,2,2410000,487,2022,12.03,-33.8059563,151.1126023,0.95," Belle Property Ryde","St Michael's Catholic Primary School ","Ryde","North"
"1078",1079,"237 Quarry Road Ryde NSW 2112",3,2,2,2225000,986,2022,12.46,-33.7993376,151.1076414,0.62," Ray White ","Northcross Christian School ","Ryde","North"
"1079",1080,"68 Greene Avenue Ryde NSW 2112",5,2,5,2650000,487,2022,11.24,-33.806153,151.1162236,NA," Belle Property Ryde",NA,"Ryde","North"
"1080",1081,"13 Providence Road Ryde NSW 2112",3,1,2,2475000,967,2022,10.5,-33.8074339,151.1197804,0.3," Belle Property Ryde","St Charles Catholic Primary School ","Ryde","North"
"1081",1082,"16 Christine Avenue Ryde NSW 2112",5,4,2,3275000,500,2022,12.09,-33.8033937,151.1119891,NA," Belle Property Ryde",NA,"Ryde","North"
"1082",1083,"16 Hinkler Avenue Ryde NSW 2112",5,5,4,4050000,607,2022,12.1,-33.8167614,151.1161484,NA," Pello ",NA,"Ryde","North"
"1083",1084,"12a Myra Avenue Ryde NSW 2112",3,2,4,1612000,316,2022,11.49,-33.7981572,151.1126719,NA," Pello ",NA,"Ryde","North"
"1084",1085,"60 Cressy Road Ryde NSW 2112",5,4,2,3025000,506,2022,10.28,-33.8179102,151.1066035,0.61," McGrath ","St Charles Catholic Primary School ","Ryde","North"
"1085",1086,"8 Lardelli Drive Ryde NSW 2112",3,2,2,2235000,305,2022,10.67,-33.8083486,151.121729,0.23," Pello ","St Charles Catholic Primary School ","Ryde","North"
"1086",1087,"28 Bright Street Ryde NSW 2112",5,3,2,2398000,582,2022,10.35,-33.8161226,151.1187116,0.5," Belle Property Ryde","St Charles Catholic Primary School ","Ryde","North"
"1087",1088,"101 Buffalo Road Ryde NSW 2112",5,3,4,2205000,771,2022,10.38,-33.8090064,151.1124472,0.59," Pello ","St Charles Catholic Primary School ","Ryde","North"
"1088",1089,"18 Hinkler Avenue Ryde NSW 2112",3,2,2,1800000,607,2022,12.09,-33.7932537,151.1094733,NA," Harcourts West Ryde ",NA,"Ryde","North"
